"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1522","SPAIN","130","SPAIN:  ALMERIA; MOROCCO: FEZ","36.97","-2.66","","","","11","","4","3",""
"1522","AZORES (PORTUGAL)","130","AZORES:  SAO MIGUEL ISLAND","37.7","-25.4","","","","10","5000","4","3","3"
"1531","PORTUGAL","130","PORTUGAL:  LISBON","38.7","-9.1","","7.7","7.7","10","30000","4","3","4"
"1535","CHINA","30","CHINA:  FUJIAN:  CHANGTING","25.8","116.4","","5","5","","","3","1",""
"1536","CHINA","30","CHINA:  SICHUAN:  N OF XICHANG","28.1","102.1","","7.3","7.3","10","3","3","3","3"
"1542","ITALY","130","ITALY:  SCARPERIA","44.07","11.3","","","","10","113","1","3",""
"1543","VENEZUELA","90","VENEZUELA:  CUMANA, ISLA CUBAGUA","10.5","-64.2","","","","","","3","3",""
"1546","ISRAEL","140","ISRAEL:  NABULUS,SALT; JORDAN:  AL-KARAK","32","35.5","","7","","11","","3","3","3"
"1549","IRAN","140","IRAN:  QAYEN (QAIN),KHORASAN","33.5","59.1","","","","","3000","4","3",""
"1550","IRAN","140","IRAN:  TABRIZ","38","46","","","","","","3","3",""
"1551","PORTUGAL","130","PORTUGAL:  LISBON","38.7","-9.1","","","","9","2000","4","3","3"
"1555","INDIA","60","INDIA:  KASHMIR:  SRINAGAR","33.5","75.5","","7.6","7.6","12","","3","3","3"
"1556","CHINA","30","CHINA:  SHAANXI PROVINCE","34.5","109.7","","8","8","11","830000","4","4",""
"1560","CHINA","30","CHINA:  YUNNAN PROVINCE:  YILIANG","24.9","103.2","","5.5","5.5","7","","4","3","3"
"1560","CHINA","30","CHINA:  YUNNAN PROVINCE","24.2","102.7","","5.5","5.5","7","100","3","2","2"
"1561","CHINA","30","CHINA:  NINGXIA:  E OF ZHONGWEI","37.5","106.2","","7.3","7.3","10","1001","4","4",""
"1561","ITALY","130","ITALY:  PICERNO, TITO, BUCCINO","40.5","14.7","","","","10","600","3","2",""
"1561","CHINA","30","CHINA:  SHAANXI,GANSU,AND SHANXI PROVINCES","38","112","","","","","","4","3",""
"1564","FRANCE","120","FRANCE:  CORSICA,LA BOLLENE-VESUBIE,VENANSON","44.017","7.283","","5.8","5.8","9","650","3","4",""
"1568","CHINA","30","CHINA:  SHAANXI PROVINCE:  XIAN","34.4","109","","6.8","6.8","9","200","3","2",""
"1568","MEXICO","150","MEXICO:  COCULA,JALISCO","20.2","-103.5","","","","","60","2","3",""
"1571","CHINA","30","CHINA:  YUNNAN PROVINCE:  TONGHAI","24.1","102.7","","6","6","8","","2","3","4"
"1573","CHINA","30","CHINA:  GANSU PROVINCE:  MINXIAN","34.4","104","","6.8","6.8","9","","3","3","3"
"1574","IRAN","140","IRAN:  FIN,KASHAN","34","51.4","","","","","1200","4","3",""
"1575","CHILE","160","CHILE:  VALDIVIA","-39.8","-73.2","","8.5","8.5","10","21","1","3",""
"1576","EL SALVADOR","100","EL SALVADOR:  SAN MARCOS","","","","","","","","3","4",""
"1577","CHINA","30","CHINA:  YUNNAN:  TENGCHONG","25","98.6","","6.5","6.5","8","170","3","2",""
"1579","CHINA","30","CHINA:  YUNNAN PROVINCE:  BAOSHAN","25.1","99.9","","5","5","6","10","1","1",""
"1580","UK","120","UNITED KINGDOM:  DOVER STRAITS","51.019","1.309","33","6.2","","","","2","2",""
